Name,RAdeg,DEdeg,z,SiIV-BI,SiIV-BIO,SiIV-EW,SiIV-vmin,SiIV-vmax,SiIV-fdeep,CIV-BI,CIV-BIO,CIV-EW,CIV-vmin,CIV-vmax,CIV-fdeep,AlIII-BI,AlIII-BIO,AlIII-EW,AlIII-vmin,AlIII-vmax,AlIII-fdeep,MgII-BI,MgII-BIO,MgII-EW,MgII-vmin,MgII-vmax,MgII-fdeep,SiIV-EmL,CIV-EmL,AlIII-EmL,MgII-EmL,SiIV-BMBB,CIV-BMBB,AlIII-BMBB,MgII-BMBB,CIV4-BWA,SN1700,logF1400,logF2500,ra,dec,mjd,plate,fiberid,Separation
114806.08+540226.1,177.025336,54.040584,1.65,,,,,,,2206.9,2206.9,-15.0,-4516,-10242,0.46,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,5.0,,-27.11,177.02533,54.040585,52706,1017,287,0.013184774709058905
114822.97+323934.0,177.095716,32.659468,2.06,0.0,0.0,0.0,,,,0.0,290.9,-8.6,36,-3139,0.54,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,6.8,-27.47,-27.03,177.09572,32.659468,53446,1991,349,0.012123255519816994
114829.04+374457.4,177.121024,37.749288,1.77,0.0,0.0,0.0,,,,625.8,625.8,-7.0,-10526,-14110,0.25,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,1,7.9,-27.23,-27.01,177.12102,37.749288,53442,1997,114,0.011386039459345791
114830.95+470025.0,177.128978,47.006965,2.25,1947.8,1947.8,-17.4,-7859,-13099,0.68,4719.1,6212.8,-41.0,-448,-12176,0.77,31.8,31.8,-6.4,-4945,-7084,0.42,0.0,232.7,-16.7,-626,-3111,0.81,1,1,1,0,0,0,0,0,0,2.7,-27.73,-27.2,177.12897,47.006964,53080,1446,311,0.01996622193300257
114841.90+631044.4,177.174606,63.17901,1.6,,,,,,,433.4,433.4,-7.4,-2992,-5753,0.57,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,8.3,,-27.16,177.17449,63.178985,52320,777,409,0.2088139314951333
114847.07+395544.8,177.196164,39.929134,3.02,3572.3,3572.3,-23.3,-6518,-15272,0.6,5405.2,5405.2,-38.5,-6353,-20336,0.64,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,0,0,,,0,7.4,-27.4,,177.19616,39.929134,53386,1970,178,0.01104247999678269
114851.63+564124.0,177.215148,56.690001,1.78,0.0,0.0,0.0,,,,0.0,477.4,-9.9,-1360,-4949,0.56,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,6.3,-27.35,-27.12,177.21514,56.689998,52781,1312,254,0.019151702330687755
114856.74+095823.5,177.236432,9.973201,1.64,,,,,,,4093.8,4093.8,-33.1,-7805,-20476,0.7,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,1,0,0,,0,,,0,9.1,,-26.86,177.23642,9.9731862,52760,1225,31,0.06818374163866325
114900.12+592225.0,177.250524,59.373612,1.95,0.0,0.0,0.0,,,,177.6,177.6,-3.2,-22064,-25014,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,21.1,-26.72,-26.64,177.25055,59.373617,52411,953,190,0.050967676546934966
114903.84+395535.5,177.266005,39.926543,2.36,0.0,0.0,0.0,,,,287.8,287.8,-6.7,-15687,-18852,0.35,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0,0,0,0,,0,,,0,1.6,-27.64,-27.53,177.266,39.926544,53386,1970,149,0.0142653422449528
114904.15+673920.3,177.267319,67.65566,3.02,0.0,0.0,0.0,,,,2653.2,2653.2,-20.5,-9188,-25010,0.02,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,,0,,,0,24.7,-26.82,,177.26733,67.655648,51955,492,541,0.04574808753834019
114908.23+501424.9,177.284326,50.240271,3.03,0.0,0.0,0.0,,,,3773.4,3773.4,-36.1,-3952,-22685,0.33,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,,0,,,0,8.1,-27.33,,177.28433,50.240267,52636,967,606,0.017093286694540702
